County,Municipality,Municipality Type,Farm Count,Improved Land Acres,Unimproved Land Acres,Farm Cash Value,Implements and Machinery Value,Horses Count,Asses and Mules Count,Milch Cows Count,Working Oxen Count,Other Cattle Count,Sheep Count,Swine Count,Live Stock Value,Wheat Bushels,Rye Bushels,Indian Corn Bushels,Oats Bushels,Tobacco Pounds,Wool Pounds,Peas Beans Bushels,Irish Potatoes Bushels,Sweet Potatoes Bushels,Barley Bushels,Buckwheat Bushels,Orchard Products Value,Wine Gallons,Garden Produce Value,Butter Pounds,Cheese Pounds,Hay Tons,Clover Seed Bushels,Other Seeds Bushels,Hops Pounds,Hemp Tons,Flax Pounds,Flaxseed Pounds,Silk Cocoons Pounds,Maple Sugar Pounds,Molasses Gallons,Beeswax Honey Pounds,Homemade Manufactures Value,Animals Slaughtered Value
Franklin,Unknown Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York,York ,Borough,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,Strasburg,Borough,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tioga,Sullivan,Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,Washington,Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elk,Spring Creek,Township,4,43,1165,3100,49,0,0,6,6,2,0,0,307,0,0,0,180,0,30,0,260,0,0,0,0,0,0,450,0,13,0,0,0,0,0,0,0,510,0,0,230,78
Lancaster,Lancaster,City,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,Beaver,Township,117,9977,6945,317100,9542,366,1,447,4,333,612,1229,26490,15580,6822,9574,15889,0,,,,,,,,,,,,,,,,,,,,,,,,
Clearfield,Knox,Township,3,90,191,3200,83,2,0,8,2,5,28,6,455,120,0,123,170,0,194,0,90,0,0,0,0,0,0,700,0,35,0,0,0,0,0,0,0,0,0,0,80,69
Tioga,Middlebury,Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny,East Deer,Township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northampton,Easton,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Berwick,Township,64,3243,993,169945,4107,131,0,187,0,115,43,533,12722,8064,3132,7717,5559,0,66,0,1972,0,0,0,75,0,0,14658,0,729,9,26,0,0,0,0,0,0,0,40,0,3140
Adams,Butler,Township,114,10791,3265,346255,9886,367,0,475,0,433,501,1162,29696,12917,1029,16665,16414,0,1587,4,2054,96,0,159,688,0,4,25281,0,2164,138,201,0,0,643,50,0,0,0,152,135,5641
Adams,Conewago,Township,48,4985,1061,284750,8237,170,0,294,0,136,82,665,17065,12501,3134,9383,11185,0,368,0,1174,37,30,20,135,0,0,24250,600,1316,153,36,0,0,280,21,0,0,0,0,41,3417
Adams,Cumberland,Township,119,14804,4332,440810,16597,430,0,609,0,588,517,1419,42060,23358,1556,18811,16084,0,1599,0,1276,62,0,216,200,0,0,49517,0,2627,132,193,0,0,258,22,0,0,0,303,106,915
Luzerne,Unknown Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susquehanna,Friendsville,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berks,Womelsdorf,Borough,17,791,108,80380,1660,43,0,0,0,13,4,126,4566,3184,2648,3383,4136,0,0,0,853,0,83,0,20,0,0,5465,0,264,6,0,0,0,0,0,0,0,0,0,0,1799
Westmoreland,Salem,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Franklin,Township,134,13389,5984,416800,14307,474,0,611,0,659,886,1486,44919,18391,1331,24613,18557,0,2129,0,2641,284,0,145,0,0,0,40819,0,2453,233,78,0,0,342,54,0,0,0,328,280,8376
Adams,Freedom,Township,46,6195,2030,166340,6526,183,0,238,0,206,233,452,18358,8967,835,6240,4808,0,1177,0,431,0,0,67,0,0,0,17562,0,967,71,21,0,0,144,11,0,0,0,136,92,4094
Adams,Germany,Township,69,5695,1389,213650,9594,203,0,296,0,121,137,682,16094,10174,1892,7747,8173,0,521,0,1477,32,0,0,186,0,0,27260,0,1080,93,36,0,0,243,19,0,0,0,105,38,3964
Adams,Gettysburg,Borough,15,646,254,42360,1320,38,0,41,0,6,10,71,3138,2893,198,1680,1182,0,12,1,196,0,0,25,25,0,0,2150,0,240,8,1,0,0,0,0,0,0,0,0,0,720
Adams,Hamilton,Township,80,6167,1339,288900,7565,239,2,314,0,245,188,854,23750,14010,3557,13670,9400,0,321,0,1624,6,0,0,243,0,0,21026,0,1485,73,50,0,0,855,60,0,0,0,0,0,492
Adams,Hamiltonban,Township,82,10716,7112,348650,11675,351,0,387,0,603,1022,1236,37900,20788,1312,24830,11581,0,2794,0,1875,194,0,158,0,0,0,28293,0,1779,189,72,0,0,40,3,0,0,0,248,200,672
Adams,Huntington,Township,122,9320,4218,347775,11275,364,12,451,0,407,491,1323,34403,17294,3154,19665,13843,0,1453,0,3366,45,0,314,643,0,0,29252,0,2221,327,101,0,0,432,48,0,0,0,269,116,6442
Adams,Latimore,Township,102,8857,2914,337500,12492,340,0,427,0,364,414,1140,31644,14394,2985,14640,14635,0,1367,0,1922,20,0,157,431,0,0,26702,0,2035,173,109,0,0,459,60,0,0,0,30,227,6417
Adams,Liberty,Township,59,6808,3931,217550,8820,228,0,312,0,304,454,920,23974,11961,1520,11330,7005,0,1367,0,1161,24,0,69,0,0,0,21525,0,1139,147,76,0,0,10,0,0,0,0,110,183,4670
Adams,Menallen,Township,103,8590,10783,286490,11790,327,0,404,0,387,674,1120,27491,12234,3976,16310,9061,0,1985,0,3317,39,0,337,1449,0,0,23215,0,1809,336,35,0,0,266,28,0,0,0,98,419,4567
Adams,Mount Joy,Township,110,11371,3604,302880,16114,369,0,499,0,246,301,1060,18020,17244,2717,10535,12361,0,964,0,1444,77,0,136,104,0,0,50391,0,1718,146,81,4,0,517,39,0,0,0,199,272,5835
Warren,Sheffield ,Township,9,450,1284,14000,780,20,0,25,28,33,121,24,2987,300,20,372,700,0,235,5,1175,0,0,36,0,0,0,1300,0,209,0,0,0,0,0,0,0,0,0,0,47,468
Allegheny,Patton,Township,109,5576,4597,281620,7397,267,0,302,0,237,856,952,23394,11161,955,10782,29191,0,2056,0,2238,0,0,212,0,0,0,18909,0,856,67,11,19,0,150,6,0,30,0,210,279,4666
Adams,Mount Pleasant,Township,151,13650,4031,391360,15980,513,0,698,0,347,283,1435,40535,23621,4568,15496,22056,0,1394,0,2097,170,0,135,56,0,0,44591,500,2420,228,112,0,0,940,98,0,0,0,128,279,8356
Adams,Oxford,Township,64,4968,1284,278700,9063,173,6,282,4,211,59,833,21173,12989,1302,10985,11562,0,134,0,1839,0,0,0,60,0,0,24085,0,1379,66,40,0,0,0,0,0,0,0,0,0,4660
Adams,Reading,Township,129,19150,4206,435000,15168,395,0,580,0,529,468,1242,33787,23888,3679,19665,10839,0,598,0,2302,22,0,80,126,0,0,32725,0,2648,209,100,0,0,121,19,0,0,0,0,0,13006
Adams,Straban,Township,146,16229,4396,465136,15543,552,0,640,0,529,356,1496,47088,23982,3521,18640,21261,0,1661,0,1817,208,0,133,380,0,0,58460,0,3199,274,227,29,0,1227,94,0,0,0,373,240,8491
Adams,Tyrone,Township,86,8293,3088,241100,8885,240,4,368,0,321,411,1013,24444,11364,1851,11675,10109,0,1143,0,1516,31,0,225,425,0,0,21375,0,1570,136,83,0,0,509,42,0,0,0,92,114,4789
Adams,Union,Township,68,7142,1892,368105,13811,291,0,290,0,206,193,823,11755,17808,3648,13682,16924,0,1061,0,2198,105,0,36,121,0,0,36987,80,1462,495,70,0,0,270,23,0,0,0,97,227,5198
Allegheny,Baldwin,Township,108,6075,2700,563010,10750,318,2,442,2,214,235,1037,23195,16566,1472,10900,25047,0,349,70,7178,0,155,15,1320,0,1555,27550,162,1075,10,0,0,0,0,0,0,0,0,12,79,45
Allegheny,Collins,Township,47,1389,246,720700,5495,96,0,171,2,23,51,252,10055,878,145,2300,4047,0,0,50,13195,60,0,0,2130,0,5575,10887,0,469,0,0,0,0,0,0,0,0,0,10,0,1121
Allegheny,Duquesne,Borough,2,31,3,9000,320,2,0,5,0,0,0,0,165,0,0,0,60,0,0,0,330,0,0,0,842,0,200,254,0,11,0,0,15,0,0,0,0,0,0,0,0,0
Allegheny,East Birmingham,Borough,185,10661,8428,444750,13807,458,2,727,26,537,1838,1784,43903,26395,4182,18405,41121,0,6049,0,14642,161,635,2646,0,0,0,69296,160,1655,11,10,0,0,0,0,0,0,0,713,1048,8318
Allegheny,Elizabeth,Township,230,21417,9160,1104055,25280,876,0,1002,43,1817,4607,2588,88740,62448,373,52657,66072,0,11947,15,3269,100,46,361,320,0,0,49851,860,1935,59,53,22,0,0,250,0,1065,0,1391,1399,13931
Allegheny,Findlay,Township,139,9742,5929,430800,10035,49,0,395,6,418,10817,1017,43697,19339,750,11435,24415,0,10131,0,2778,0,240,572,849,0,40,19307,0,614,4,0,0,0,0,0,0,0,0,395,631,4880
Allegheny,Franklin,Township,175,7726,7836,254444,9703,376,0,550,16,280,2228,1346,33494,14929,4836,10675,6979,0,4904,0,5283,0,316,2969,229,0,30,27233,0,859,3,0,0,0,285,0,0,0,0,638,216,4364
Allegheny,Huntington,,122,9320,4218,347775,11275,364,12,451,0,407,491,1323,34403,17294,3154,19665,13843,0,1453,0,3366,45,0,314,643,0,0,29252,0,2221,327,101,0,0,432,48,0,0,0,269,116,6442
Allegheny,Indiana,Township,260,12165,11677,780730,23303,631,5,990,8,517,1694,2264,58446,22813,3532,26518,60784,0,5009,0,39623,210,1155,1461,293,0,0,96653,0,2478,22,14,33,0,0,0,0,0,0,692,744,1125
Allegheny,Jefferson,Township,89,8433,4641,468920,11327,394,0,386,40,528,2255,1183,34637,24971,2032,19550,34580,0,4085,0,2014,0,0,222,132,0,50,23635,100,874,8,3,10,0,0,0,0,200,0,106,85,4491
Allegheny,Lower St Clair,Township,113,6300,1877,1261000,19011,338,0,627,0,204,314,891,35737,11628,255,12110,16827,72,325,0,11378,29,0,0,10835,0,3000,18924,0,1985,0,0,0,0,0,0,0,0,0,0,0,3345
Allegheny,Manchester,Borough,12,120,0,15800,960,18,0,20,0,0,0,46,1585,0,0,70,0,0,0,0,2760,0,0,0,240,0,3900,450,0,15,0,0,0,0,0,0,0,0,0,0,0,184
Allegheny,Mifflin,Township,116,8159,5067,617350,11066,405,1,451,24,409,2223,1385,33015,2075,1484,15103,35175,0,6343,5,5797,143,359,130,886,0,418,21034,310,1229,0,6,8,0,0,0,0,0,0,1001,759,5295
Allegheny,Moon,Township,105,7601,6087,399000,10000,349,0,416,0,371,3888,1130,32550,19635,1541,11390,22878,0,10131,0,2778,0,240,572,849,0,40,19307,0,614,4,0,0,0,0,0,0,0,0,395,631,4880
Allegheny,New Elizabeth,,86,100,76,17600,50,0,0,2,0,0,8,8,50,212,0,200,300,0,0,0,0,0,0,0,20,0,0,250,0,9,0,0,0,0,0,0,0,0,0,16,20,75
Allegheny,North Fayette,Township,164,14010,6037,575000,18355,531,0,575,12,621,14368,1307,56960,33403,586,16114,45940,0,41975,0,1796,0,965,49,863,0,0,30360,0,1217,7,9,0,0,150,4,0,0,0,1353,886,7097
Allegheny,Ohio,Township,249,10059,9779,546565,14225,482,1,587,14,383,2259,1993,41460,20784,2992,2195,29442,0,5513,8,25942,3339,62,882,2933,0,5060,37675,100,1651,0,0,0,0,0,0,0,0,0,362,355,7850
Allegheny,Peebles,Township,156,5494,2355,2496900,16008,370,3,617,3,134,499,729,34886,3954,167,9232,18583,0,1616,15,22087,135,290,70,5688,110,5761,37527,350,2104,0,0,5,0,0,0,0,0,0,207,247,10903
Allegheny,Pine,Township,274,14425,2745,516240,16522,645,0,1040,14,503,3692,2402,60814,22668,7447,16313,55091,0,7497,0,9212,0,479,4848,245,0,420,61830,0,2360,14,0,137,0,65,2,0,0,0,390,275,7074
Allegheny,Pitt,Township,34,1291,136,777000,5105,89,0,271,0,0,0,38,11430,1780,0,3040,3250,0,0,0,12820,0,0,0,1887,0,5868,940,0,522,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny,Plum,Township,109,8753,5043,402924,11125,422,1,452,4,327,1998,1442,36408,21205,1203,21762,48475,0,3218,0,3898,0,595,1449,44,0,0,26155,0,979,17,0,0,0,145,24,0,260,0,221,581,6693
Allegheny,Reserve,Township,109,634,244,269000,3575,50,0,127,0,21,0,69,5006,705,210,475,1025,0,0,517,4265,250,150,0,1727,290,6485,3640,0,360,0,0,15,0,0,0,0,0,0,0,0,155
Allegheny,Robinson,Township,178,11639,6647,709600,13107,541,0,777,7,441,4193,1555,48625,27862,1481,14120,49885,0,11039,277,12858,1940,880,30,443,40,3502,58140,0,1026,29,7,0,0,0,0,0,0,0,530,0,5021
Allegheny,Ross,Township,86,4958,2499,440400,11465,209,0,450,6,131,880,707,21922,8036,718,7540,17583,0,1746,0,13712,360,0,117,1920,30,4930,24366,800,1199,3,0,0,0,0,0,0,0,0,0,20,2744
Allegheny,Shaler,Township,71,3343,2827,368580,7130,165,1,289,0,96,239,549,15923,5518,588,8817,14463,0,897,34,5407,40,92,173,138,0,10,23677,0,809,2,0,0,0,0,0,0,0,0,146,165,2965
Allegheny,Snowden,Township,126,8209,2852,632050,15012,388,1,531,7,334,3784,1321,41173,22318,736,15193,30702,0,8617,146,3407,0,246,61,978,0,25,41790,605,1499,7,37,75,0,0,0,0,2,0,853,228,6605
Allegheny,South Fayette,Township,109,10154,5094,516714,10588,412,4,538,8,308,10730,1017,46901,25121,528,15878,40834,0,28087,0,1807,0,1384,0,69,0,0,45850,50,1072,17,33,0,0,0,0,0,0,0,350,0,5128
Allegheny,Upper St Clair,Township,123,8536,3079,650290,16630,396,4,547,19,383,4140,1451,43902,21772,879,19976,32428,0,9520,258,4198,80,1011,225,1793,40,135,40980,97,1191,20,47,79,0,0,0,0,0,0,1548,547,7037
Allegheny,Versailles,Township,68,6050,4640,326250,5829,272,0,294,4,300,812,874,22803,12946,611,15615,28229,0,2056,0,2238,0,0,212,0,0,0,18909,0,856,67,11,19,0,150,6,0,30,0,210,279,4666
Allegheny,West Deer,Township,213,12105,9659,458400,16073,547,0,863,12,502,2090,1825,47099,18909,5395,15163,53172,0,5907,10,11766,80,394,3721,140,0,3,68857,50,1955,73,25,0,0,100,3,0,0,0,301,981,9070
Allegheny,West Elizabeth,Borough,1,100,76,17600,50,0,0,2,0,0,8,8,50,212,0,200,300,0,0,0,0,0,0,0,50,0,0,250,0,9,0,0,0,0,0,0,0,0,0,16,20,75
Allegheny,Wilkins,Township,191,11097,5644,870138,15960,577,2,615,4,371,1441,2004,48158,28143,2328,32677,59339,0,3783,15,8519,65,911,646,718,0,1220,48192,0,2238,48,33,0,0,70,9,0,0,0,447,854,9199
Armstrong,Allegheny,Township,279,13065,12645,331160,10306,571,6,838,6,991,3348,1783,49796,21099,6123,18917,41135,0,6305,3,3082,8,220,2957,662,0,1067,27466,183,1541,10,13,0,0,274,35,0,300,0,100,0,6176
Armstrong,Brady's Bend,Township,33,1622,1499,33930,2385,94,0,101,20,153,454,315,8227,2012,852,2110,5449,0,783,0,976,0,0,1438,99,0,165,7245,0,201,7,5,0,0,60,4,0,200,0,735,307,1225
Armstrong,Cowanshannock ,Township,217,9118,12209,235050,8301,591,0,613,30,788,3208,1285,41195,13603,6878,11877,33680,0,7885,4,3432,0,0,4835,0,0,0,35860,0,1071,4,6,0,0,1178,75,0,0,0,396,0,5238
Armstrong,Franklin,Township,192,13267,11852,379055,17133,715,4,816,38,1215,4510,1679,62190,18216,5186,17280,57862,0,11052,0,6159,0,345,6169,537,0,13,56095,0,2028,57,40,0,0,595,75,0,0,0,2015,3140,8400
Armstrong,Kiskiminetas,Township,276,15907,15106,410250,18717,777,9,900,1,1407,5404,2287,59850,27624,8862,44825,57785,0,11817,300,5068,59,613,4824,220,0,1330,52065,100,1712,238,142,20,0,1497,271,0,700,0,1335,2779,7551
Armstrong,Kittaning,Borough,95,908,1145,51300,3715,98,4,103,0,61,137,52,8809,1332,610,1489,4100,0,320,50,598,0,0,135,150,0,20,0,0,564,0,0,0,0,0,0,0,0,0,0,0,300
Armstrong,Kittaning,Township,160,7040,9986,167415,6249,417,1,464,9,477,1519,815,23678,8190,5146,9975,23874,0,3099,0,2465,0,0,2532,20,0,0,21270,0,821,10,17,0,0,205,79,0,100,0,170,0,4013
Berks,Hamburg,Borough,22,4472,224,63241,1325,25,0,46,0,11,0,90,2927,1230,295,1430,1025,0,0,0,1930,0,0,122,38,0,0,4524,0,180,0,0,0,0,0,0,0,0,0,0,0,4207
Armstrong,Madison,Township,76,3169,4612,83202,3907,153,3,201,46,293,719,631,14600,3877,3288,3918,9989,0,1727,0,2295,0,1327,789,85,0,200,16356,1020,473,10,0,6,0,20,0,0,0,0,389,45,1914
Armstrong,Manor,Township,110,4079,4667,147730,3488,196,0,269,12,289,1041,403,14805,6513,1095,6951,12362,0,2464,12,1764,0,83,848,220,0,0,6662,0,374,2,2,0,0,0,3,0,60,0,80,0,2265
Armstrong,North Buffalo,Township,101,6503,5903,160378,8116,307,6,363,15,468,1847,780,25768,9231,2450,7211,21524,0,4641,2,2910,0,68,1813,636,0,0,24698,0,661,4,32,0,0,465,27,0,50,0,1015,1259,4254
Armstrong,Perry,Township,62,3390,3682,76627,4068,156,0,221,58,227,1018,590,14477,4208,1873,3267,8789,0,2116,0,1786,0,0,3187,150,0,0,13355,0,364,3,6,0,0,168,12,0,128,0,1114,717,2337
Armstrong,Pine,Township,315,12885,19107,347155,13846,716,77,717,24,1022,3690,1656,61644,17061,8967,15263,47203,0,8507,0,5873,0,0,5733,35,0,55,43621,40,1186,9,3,0,0,536,78,0,0,0,670,24,24866
Armstrong,Plum Creek,Township,328,16076,15869,397232,15717,950,12,790,26,1886,5859,2526,76446,22211,12377,22058,44266,0,9452,46,5025,8,59,6067,345,0,1922,57585,176,1341,61,130,50,0,4646,674,0,1023,0,1487,1542,8935
Armstrong,Redbank,Township,143,7182,7517,175750,7786,339,3,430,35,587,1561,1151,30217,11497,9879,10853,23493,0,3755,0,3716,0,0,3580,287,0,803,27175,4,827,45,0,0,0,85,2,0,0,0,260,116,4139
Armstrong,South Buffalo,Township,118,8256,6287,262280,10760,388,6,483,8,657,2446,937,34691,15939,3811,8474,29511,0,6411,0,3850,0,360,1812,260,0,0,36349,0,1216,26,60,0,0,774,40,0,312,0,641,2712,4983
Armstrong,Sugar Creek,Township,164,11039,10662,207220,13566,562,6,674,34,857,2921,1481,46536,10223,12499,6739,36534,0,21631,50,5703,0,52,7886,205,0,45,40565,0,1380,45,37,0,0,565,33,0,230,0,2252,2266,5468
Armstrong,Wain,Township,99,4534,7218,120700,5587,218,4,270,6,371,1360,924,18187,4881,2518,4324,18512,0,3210,0,1653,0,0,2102,0,0,0,12886,0,449,0,0,0,0,430,41,0,0,0,60,0,2384
Berks,Pike,Township,72,3775,1375,72700,5970,164,0,312,0,336,70,434,12098,4705,4599,10590,8215,0,0,0,2057,0,0,479,474,0,0,23720,0,978,0,0,0,0,0,10,0,0,0,0,5,3901
Beaver,Big Beaver,Township,67,5788,3254,199800,7975,217,1,260,40,359,5606,695,26026,7893,1427,5415,10447,0,13633,5,1834,0,395,2365,245,0,25,20275,0,1056,23,91,100,0,218,27,0,0,0,1067,360,4375
Beaver,Borough,Township,12,588,403,37730,1265,32,0,30,0,58,97,119,3022,1522,70,2835,774,80,290,0,485,0,0,0,65,0,0,2610,0,137,0,9,0,0,0,0,0,0,0,0,20,672
Beaver,Chippewa,Township,80,5658,3687,282900,9810,220,1,270,14,174,5060,680,25700,10116,452,6277,13484,0,12079,43,3296,0,6,1878,340,0,50,25715,200,1040,135,112,5,0,105,9,0,20,0,1283,415,4296
Beaver,Darlington,Township,85,6904,5111,309050,9910,265,0,291,28,314,9203,796,33324,10121,1329,13995,16999,0,22300,5,3632,0,374,1810,550,10,0,23510,50,1559,75,49,0,0,395,13,0,1085,0,502,387,4860
Beaver,Economy,Township,101,7347,6785,503682,12415,323,0,469,14,527,1565,1078,37292,13447,1753,20392,25408,0,3898,33,11662,225,980,1419,3827,2550,640,31109,0,1105,7,34,502,0,248,20,10,292,0,1493,1249,7244
Beaver,Falston + New Brighton+ Brighton,Borough + Borough + Township,95,6186,5227,306700,10950,246,0,244,2,449,2674,1151,26360,15417,762,16235,17338,0,6882,36,2583,5,70,2332,1143,0,165,31130,150,1057,792,78,0,0,420,29,0,0,0,874,485,5690
Potter,Stewardson,Township,5,92,18,5200,176,2,0,8,4,5,0,9,684,50,30,305,237,0,0,3,170,0,0,21,0,0,0,575,0,20,0,0,0,0,0,0,0,120,0,0,0,242
Beaver,Franklin ,Township,69,4886,3486,155100,7240,188,0,233,50,326,3282,668,20650,8558,2131,8048,16607,0,8162,3,2967,0,276,2039,10,0,0,16455,0,733,69,22,0,0,1565,63,0,0,0,1013,605,3449
Beaver,Greene,Township,122,9014,6393,382833,10850,396,0,389,14,326,5512,1328,36589,18135,2759,14660,17225,0,16289,3,1757,2,135,1612,847,0,0,25900,0,915,35,66,0,0,330,17,0,465,0,1784,723,5229
Beaver,Hanover,Township,181,14864,10934,639502,16043,639,1,570,35,556,13087,1829,64931,28704,3987,18070,29613,1600,38817,11,2941,3,624,1732,1540,0,0,42275,0,1682,79,179,5,0,1223,56,0,249,0,2054,1512,7628
Beaver,Hopewell ,Township,106,6431,5167,284235,6468,274,0,351,1,308,2280,1153,23753,13349,1407,17381,22830,0,6433,3,4455,232,186,592,728,6,0,32022,0,665,12,7,3,0,805,42,0,475,0,811,708,4961
Beaver,Independence ,Township,93,5113,6256,235507,5820,282,0,300,6,241,3524,990,23735,13176,1494,10550,16693,0,9686,0,3135,0,20,991,714,0,0,20920,0,524,35,17,0,0,250,15,0,289,0,747,781,3548
Beaver,Marion,Township,41,2394,2089,74900,4205,107,0,163,15,138,838,327,10015,4456,1873,4405,6364,0,1906,0,2630,0,411,650,0,0,0,11160,525,405,12,13,0,0,390,11,0,20,0,395,302,2086
Beaver,Moon,Township,103,5537,4699,221279,6485,297,1,300,6,280,1331,1041,20982,10627,2725,12211,15315,0,3490,4,3951,4,133,677,1035,0,270,22475,0,476,2,4,12,0,309,22,0,160,0,324,1201,4349
Beaver,New Sewickley,Township,233,12753,10003,554714,20232,628,0,931,57,542,3087,1965,47293,24710,5604,22503,40650,0,8437,24,8654,0,725,4537,649,0,0,67413,0,1858,151,33,5,0,819,51,0,50,0,1247,1780,8111
Beaver,North Sewickley,Township,98,5868,4218,216400,9685,250,0,319,70,348,3277,975,27125,10924,1922,13950,22604,0,7130,17,3251,0,70,3554,0,0,0,27250,50,793,28,69,2000,0,510,22,0,10,0,1752,976,5519
Beaver,Ohio,Township,115,9031,5990,322160,12230,343,0,376,16,458,9003,1321,38922,21282,1655,12585,21880,0,22416,74,5995,0,235,2904,300,0,0,33355,105,1267,214,237,0,0,495,23,0,0,0,1325,764,7269
Beaver,Patterson,Township,6,303,132,14000,1025,19,0,22,0,22,238,67,1940,798,25,1158,1050,0,360,0,225,0,0,0,130,0,0,1750,0,80,4,0,0,0,0,0,0,0,0,6,0,327
Beaver,Patterson,,18,891,525,51730,,51,0,52,0,80,335,186,4962,2320,95,3985,1824,80,650,0,710,0,0,0,195,0,0,4360,0,217,4,9,0,0,0,0,0,0,0,6,20,999
Beaver,Philipsburg,,238,12870,10019,561589,20512,637,0,944,57,545,3087,1984,48020,24962,5660,23168,40940,0,8437,24,9549,0,725,4537,674,0,0,68163,0,1890,151,33,5,0,819,51,0,50,0,1247,1792,8269
Beaver,Phillipsburgh,Borough,5,117,16,6875,280,9,0,13,0,3,0,19,727,252,56,665,290,0,0,0,895,0,0,0,25,0,0,750,0,32,0,0,0,0,0,0,0,0,0,0,12,158
Beaver,Raccoon,Township,102,6440,6965,245235,8461,343,0,318,25,269,2819,1104,26908,13229,2935,9933,13023,0,4211,551,1999,10,41,1262,932,0,50,22868,150,578,6,8,4,0,730,41,0,275,0,559,1400,3998
Beaver,Rochester,Borough,19,1280,659,100400,2490,55,0,63,10,69,429,187,6191,2341,214,3885,3550,0,1042,27,2705,0,67,279,490,0,485,8400,0,301,14,2,0,0,30,3,0,0,0,20,125,949
Berks,Reading,Borough,48,750,85,167440,3045,56,1,103,2,15,0,175,7587,3453,482,3063,2527,0,0,1,3096,24,0,0,1026,4075,474,7935,0,378,0,0,0,0,0,0,0,0,0,0,80,2236
Centre,Snowshoe,Township,54,1203,12695,53796,628,72,8,102,8,108,63,217,6993,1790,395,1295,2532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver,South Beaver,Township,117,8241,5177,288170,11350,370,0,432,16,501,8999,1067,38650,15055,1759,11708,22147,0,21415,39,7267,0,334,4498,382,5,10,31430,1530,1643,77,82,0,0,1075,37,0,0,0,1832,712,5951
Bedford,Bedford,Township,144,15345,10510,444000,20814,724,8,667,0,608,1313,1527,51683,32347,5028,25367,23609,0,557,0,2607,0,0,254,971,0,35,9195,0,2374,68,0,0,0,0,0,0,0,0,0,121,6325
Bedford,Broad Top,Township,41,2922,6186,44700,3135,103,0,134,4,201,376,306,8948,2759,2349,3849,3851,0,782,0,1391,0,30,813,5,0,20,4420,60,315,42,2,6,0,0,0,0,600,0,0,550,1682
Bedford,Colerain,Township,101,10856,9531,344300,14255,483,1,472,0,548,1389,1260,38040,23674,5375,15646,26790,0,3130,0,3251,0,0,621,50,0,0,24660,600,1288,0,0,0,0,0,0,0,0,0,0,397,5623
Bedford,Cumberland Valley,Township,102,8713,13851,208700,8590,350,0,490,2,431,1396,944,28945,13457,5006,11482,10602,0,2881,0,1803,0,0,1000,0,0,0,19750,300,1201,0,0,0,0,0,0,0,0,0,0,155,4835
Bedford,East Providence,Township,94,6510,12755,139425,5441,227,1,242,0,186,677,641,21494,7400,4190,9181,6037,0,1382,0,2043,0,0,1341,0,0,0,11625,0,428,0,0,0,0,0,0,0,0,0,0,55,2694
Bedford,Harrison,Township,135,9692,14166,186100,8855,396,0,482,4,458,1270,871,27621,10206,6890,11993,14989,0,2400,0,1648,0,0,1038,0,0,0,23615,0,782,42,0,0,0,0,0,0,2400,0,0,164,4142
Bedford,Hopewell,Township,46,3937,15974,153440,3975,169,0,176,0,273,510,652,14485,6880,2172,6237,7117,0,2827,0,1586,0,0,332,0,0,0,8279,50,529,134,0,0,0,0,0,0,0,0,0,57,2917
Bedford,Liberty,Township,22,1940,1970,37150,2050,72,0,90,4,125,424,255,5991,2850,990,1875,1705,0,811,0,510,0,0,241,0,0,0,3250,0,192,0,0,0,0,0,0,0,150,0,0,250,1538
Bedford,Londonderry,Township,63,5623,7266,123312,4663,197,0,295,0,293,936,491,15814,5197,6379,5555,0,0,1705,0,414,0,0,1008,0,0,0,21575,0,733,0,0,0,0,0,0,0,1685,0,0,167,2350
Bedford,Middle Woodbury,Township,109,8076,5357,446965,13595,428,12,490,0,545,1012,1100,34681,27415,6167,15025,11831,0,2129,0,2560,0,690,26,0,0,0,28665,0,1371,174,0,0,0,0,0,0,0,0,0,71,5042
Bedford,Monroe,Township,138,9958,19262,153050,9791,388,0,439,0,555,1277,970,41775,11796,7050,12392,16116,0,2867,0,4334,0,0,2043,0,0,0,21889,0,885,0,0,0,0,0,0,0,0,0,0,734,4657
